 
 
 rho =    5.0000000745058060E-002
        1000  -4.9093434471546606        20748.413777454673        20743.504434007518     
        2000  -4.9125051657044718        18978.499739846149        18973.587234680446     
        3000  -4.9166178249140255        18699.230802229955        18694.314184405041     
        4000  -4.9198589306745690        21852.644823314717        21847.724964384041     
        5000  -4.9236021166975785        18552.516431793541        18547.592829676843     
        6000  -4.9266134774609895        18575.999203573738        18571.072590096275     
        7000  -4.9307750108097581        17517.439860263094        17512.509085252284     
        8000  -4.9367712860144684        19774.266662205158        19769.329890919144     
        9000  -4.9402838834435121        18814.671979825725        18809.731695942282     
       10000  -4.9457545747274487        17159.954575028714        17155.008820453986     
 
 
 rho =   0.10000000149011612     
        1000  -19.527434401305971        18341.656090807322        18322.128656406017     
        2000  -19.546214577356643        19342.285082296636        19322.738867719279     
        3000  -19.565976533202306        21445.734006094703        21426.168029561501     
        4000  -19.586852419932043        15765.411372446208        15745.824520026275     
        5000  -19.615604813091007        18181.719620225787        18162.104015412697     
        6000  -19.634931943633084        19370.100671655629        19350.465739711995     
        7000  -19.654304813623789        17795.305650148224        17775.651345334602     
        8000  -19.680643782644850        21070.038525313503        21050.357881530857     
        9000  -19.713687477733554        18954.773741523230        18935.060054045494     
       10000  -19.724599860483629        19798.674324700754        19778.949724840269     
 
 
 rho =   0.20000000298023224     
        1000  -76.300379182877577        19713.062887283904        19636.762508101026     
        2000  -76.397032814621070        17047.729043805048        16971.332010990427     
        3000  -76.494041406998093        19949.783565330519        19873.289523923522     
        4000  -76.617961866822711        18212.753106576783        18136.135144709962     
        5000  -76.765089481632643        18502.917253629970        18426.152164148338     
        6000  -76.886782092684456        18350.809085040961        18273.922302948275     
        7000  -77.009169657443763        18520.265603307245        18443.256433649800     
        8000  -77.073171279138109        19217.695125321738        19140.621954042599     
        9000  -77.079797834568012        19121.325451852961        19044.245654018392     
       10000  -77.175150653692143        18154.212949637284        18077.037798983591     
 
 
 rho =   0.40000000596046448     
        1000  -275.29155201515539        18783.367487726071        18508.075935710916     
        2000  -275.62218503300306        24228.580736437838        23952.958551404834     
        3000  -275.91667511080010        19927.795753849408        19651.879078738610     
        4000  -276.17863441555909        16477.310664117031        16201.132029701472     
        5000  -276.46333166736360        19821.346133427120        19544.882801759755     
        6000  -276.73751822042590        20351.093780279014        20074.356262058587     
        7000  -277.00139131073058        17467.141661878672        17190.140270567939     
        8000  -277.25105011421175        18673.806004515282        18396.554954401068     
        9000  -277.54616904504906        19241.303006537015        18963.756837491965     
       10000  -277.76985575337670        16532.352777025142        16254.582921271765     
 
 
 rho =   0.60000002384185791     
        1000  -505.93547487486114        19335.738785914440        18829.803311039577     
        2000  -504.56695317658540        20688.293424001702        20183.726470825117     
        3000  -503.56060124918650        18319.645241003283        17816.084639754095     
        4000  -502.16790711889359        19109.978977922365        18607.811070803473     
        5000  -499.88283589097671        17334.551470238472        16834.668634347494     
        6000  -498.00355163582054        20503.402403176035        20005.398851540212     
        7000  -496.71853146666666        18747.432336046480        18250.713804579813     
        8000  -494.10816580072725        18736.265105389521        18242.156939588793     
        9000  -492.39205292954699        18052.965189711038        17560.573136781491     
       10000  -492.58774649476010        19612.375911640127        19119.788165145368     
 
 
 rho =   0.80000001192092896     
        1000  -615.25627034268746        18882.145185246711        18266.888914904022     
        2000  -605.13293412522182        19694.549655506220        19089.416721381000     
        3000  -597.90147380967630        17618.728645201940        17020.827171392262     
        4000  -588.53478322825731        18049.606972454494        17461.072189226237     
        5000  -576.84325446312607        19295.651359253839        18718.808104790714     
        6000  -564.55735079048281        18162.517588956187        17597.960238165702     
        7000  -561.16361840951481        18031.476881512514        17470.313263102998     
        8000  -556.18123840679027        20153.236659673934        19597.055421267145     
        9000  -542.22258259618400        18127.395706816347        17585.173124220164     
       10000  -534.04228637703682        16068.576347824557        15534.534061447521     
